id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text
1604291721189556224,1536927389506101249,1604291721189556224,2022-12-18T01:45:27.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1604261849486462976'}]","@PeterDutton_MP   @PaulineHansonOz Well it seems that at last we have some pink pongs growing in UK, plus today it has been confirmed 100 Senators in US used Ivermectin as a Covid deterrent after the WEF banned it &amp; caused millions of deaths.Come on Australia can do it as well. https://t.co/coistSQX6h"
1604284977562226689,1580705230223806465,1604284977562226689,2022-12-18T01:18:39.000Z,qht,2,0,0,0,"[{'type': 'retweeted', 'id': '1604283811055140866'}]",RT @RIGPIG888: #auspol
1604284526326214656,1520234191950352384,1604284526326214656,2022-12-18T01:16:51.000Z,qht,2,0,0,0,"[{'type': 'retweeted', 'id': '1604283811055140866'}]",RT @RIGPIG888: #auspol
1604283811055140866,1454391515929665537,1604283811055140866,2022-12-18T01:14:01.000Z,qht,2,0,2,0,"[{'type': 'quoted', 'id': '1604261849486462976'}]",#auspol https://t.co/MqIQ4wc1OU
1604935446617677824,804035907716317185,1604935446617677824,2022-12-19T20:23:23.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]","Once you see it and experience life outside of your own car, it is nigh on impossible to not see how cars -impact on our communities and quality of life. https://t.co/RzT1QfsXAU"
1604643923175120897,1516140938,1604643923175120897,2022-12-19T01:04:58.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]",The road outside my house is a racetrack compared to when we moved in 15 yrs ago. We need traffic calming. It’s NOT a main road. It’s depressing stepping out into the street now. https://t.co/YNvm32XFhN
1604616070626787328,797927640120360960,1604616070626787328,2022-12-18T23:14:18.000Z,en,0,0,5,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]","Four years ago, my mom took care of our daughter so we could take a vacation. She had to drive across town to take her to daycare. Last week, she just walked out daughter to school while we were away. Guess which one she found less stressful? https://t.co/QvyMBa4CM2"
1604516402777423872,964973726,1604516402777423872,2022-12-18T16:38:15.000Z,en,2,0,0,0,"[{'type': 'retweeted', 'id': '1604506895695454209'}]","RT @blogNewham65: Thinking about this a lot this week, hence Newham65's latest blog.  https://t.co/uif8sC774H"
1604511505352900609,19529210,1604511505352900609,2022-12-18T16:18:47.000Z,en,2,0,0,0,"[{'type': 'retweeted', 'id': '1604506895695454209'}]","RT @blogNewham65: Thinking about this a lot this week, hence Newham65's latest blog.  https://t.co/uif8sC774H"
1604506895695454209,1524396576319455233,1604506895695454209,2022-12-18T16:00:28.000Z,en,2,0,3,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]","Thinking about this a lot this week, hence Newham65's latest blog.  https://t.co/uif8sC774H https://t.co/D5J9aQuIE8"
1604492524671868928,21933717,1604492524671868928,2022-12-18T15:03:22.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]","Never a truer word said. Cars are great, but the utter reverence with which we treat them is dreadful. https://t.co/qcYbHJ3XAn"
1604491442692440067,14265420,1604491442692440067,2022-12-18T14:59:04.000Z,en,1,0,6,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]",This. https://t.co/ficeMjAxyG
1604402230811148288,182274877,1604402230811148288,2022-12-18T09:04:34.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1604258006274920449'}]","This is true. I have developed this habit of 'critically' observe the London roads I commute on, from the outskirts, all the way to the centre. The amount of space, dedicated or not, occupied by cars is absolutely staggering. We take it for granted and sleepwalk through it. https://t.co/pW9cEB2phk"
