id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text
1579628637547950080,141009810,1579628637547950080,2022-10-11T00:23:09.000Z,en,1,0,0,0,"[{'type': 'retweeted', 'id': '1579623316847230976'}]",RT @EllenWhiteAus: Some great projects successful in this round. #climatechange #ClimateActionNow https://t.co/xGGohCdbu4
1579623316847230976,85011038,1579623316847230976,2022-10-11T00:02:01.000Z,en,1,0,0,0,"[{'type': 'quoted', 'id': '1579621376121397248'}]",Some great projects successful in this round. #climatechange #ClimateActionNow https://t.co/xGGohCdbu4
1579683552673017856,2743940402,1579683552673017856,2022-10-11T04:01:22.000Z,qst,0,0,0,0,"[{'type': 'quoted', 'id': '1579620752734965760'}]",Job https://t.co/cfpqg1eFd2
1579696334961266688,1158431014856753152,1579696334961266688,2022-10-11T04:52:10.000Z,en,0,0,2,0,"[{'type': 'quoted', 'id': '1579620247015149568'}]","Getting ready for 2 new special edition #WildlifeWednesdays   This is week after this…. Get your seat … you’ll only need the edge, so it’s no charge. https://t.co/M16tHqWISw"
1579958076547141632,1263181969472380928,1579958076547141632,2022-10-11T22:12:14.000Z,en,1,0,0,0,"[{'type': 'retweeted', 'id': '1579832395708366850'}]",RT @DecEmergency: Love this quote! #CivilResistance #civildisobedience #a22network #ClimateEmergency #declareemergency
1579832395708366850,1459682161276116996,1579832395708366850,2022-10-11T13:52:49.000Z,en,1,5,14,1,"[{'type': 'quoted', 'id': '1579619952159756288'}]",Love this quote! #CivilResistance #civildisobedience #a22network #ClimateEmergency #declareemergency https://t.co/eTmUrbRIGH
1579676342504738816,26267463,1579676342504738816,2022-10-11T03:32:43.000Z,en,1,0,0,0,"[{'type': 'retweeted', 'id': '1579672942275080193'}]",RT @PrezNelsen: Wow. What a speech. What a @sacState Hornet. #StingersUp
1579672942275080193,2420797099,1579672942275080193,2022-10-11T03:19:12.000Z,en,1,0,5,0,"[{'type': 'quoted', 'id': '1579619886807932929'}]",Wow. What a speech. What a @sacState Hornet. #StingersUp https://t.co/jFBRKU1twu
1579796248743116800,1325023824446849024,1579796248743116800,2022-10-11T11:29:11.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619817270964225'}]",#WC #JeffBezos going to turn the solar system &amp; space into a tourist destination. There are some obstacles to space achievements. To fix it India has temples that are over a thousand years old. Your obstacles will be removed by the positive radiation there https://t.co/HrGiMZexjS https://t.co/Cm7CwffGKF https://t.co/LAW5uOeP2k
1579628019983208450,12710342,1579628019983208450,2022-10-11T00:20:42.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619817270964225'}]",Tall tale https://t.co/KJ4K56Aq4r
1579623489497354240,994082616,1579623489497354240,2022-10-11T00:02:42.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619817270964225'}]","Humans,get tents after eviction!Same issue? https://t.co/8qFboSGAXN"
1579860463114125312,409622208,1579860463114125312,2022-10-11T15:44:21.000Z,en,0,0,2,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",Agreed https://t.co/7ZLjRx7M1j
1579707768784982016,1096977879399686144,1579707768784982016,2022-10-11T05:37:36.000Z,qht,1,0,0,0,"[{'type': 'retweeted', 'id': '1579629677303386113'}]",RT @TaliaAgain: #ClimateScam
1579707628204486657,1096977879399686144,1579707628204486657,2022-10-11T05:37:02.000Z,qht,2,0,0,0,"[{'type': 'retweeted', 'id': '1579631059976990720'}]",RT @DeepInTropics: #ClimateScam
1579701576444547072,1037945861492228098,1579701576444547072,2022-10-11T05:12:59.000Z,qam,0,0,0,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",@GretaThunberg @JohnKerry @SpeakerPelosi @TeamPelosi @VP @KamalaHarris @POTUS @JoeBiden @HillaryClinton @BarackObama @TheDemocrates @WhiteHouse https://t.co/1pqr5zkvqO
1579660427361148928,1022767096143347712,1579660427361148928,2022-10-11T02:29:29.000Z,art,1,0,0,0,"[{'type': 'retweeted', 'id': '1579638506334621696'}]",RT @DEBOSS7788: 👇👇👇
1579649277902880769,1520232384246992896,1579649277902880769,2022-10-11T01:45:10.000Z,en,4,0,0,0,"[{'type': 'retweeted', 'id': '1579632481053339649'}]",RT @leonpui_: Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where…
1579641843436118016,258357550,1579641843436118016,2022-10-11T01:15:38.000Z,en,4,0,0,0,"[{'type': 'retweeted', 'id': '1579632481053339649'}]",RT @leonpui_: Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where…
1579641033826369536,850139462092726273,1579641033826369536,2022-10-11T01:12:25.000Z,en,4,0,0,0,"[{'type': 'retweeted', 'id': '1579632481053339649'}]",RT @leonpui_: Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where…
1579640961248157696,1551664541120880640,1579640961248157696,2022-10-11T01:12:08.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",WITHOUT DOUBT https://t.co/zs2gOyTx7P
1579638506334621696,949168058823720960,1579638506334621696,2022-10-11T01:02:22.000Z,art,1,1,6,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",👇👇👇 https://t.co/i4PKeFbmft
1579636180542717952,1519381600018092032,1579636180542717952,2022-10-11T00:53:08.000Z,en,4,0,0,0,"[{'type': 'retweeted', 'id': '1579632481053339649'}]",RT @leonpui_: Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where…
1579632870611914752,1051557925,1579632870611914752,2022-10-11T00:39:59.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",Lord Monckton has proven by the IPCC’s own mathematical formulas that climate change is fake.https://t.co/5RDCinS9Gc https://t.co/kCo2fWy8KD
1579632481053339649,1051557925,1579632481053339649,2022-10-11T00:38:26.000Z,en,4,0,4,1,"[{'type': 'quoted', 'id': '1579619618368671745'}]",Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where they had none.https://t.co/rNWV00xo7s https://t.co/kCo2fWy8KD
1579632317596766208,1051557925,1579632317596766208,2022-10-11T00:37:47.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",Look!Climate Change is FAKE.It has been proven a number of times and even the IPCC had to change models to show a warming where they had none.https://t.co/rNWV00feTk https://t.co/kCo2fWPbMD
1579631414924185601,2475989550,1579631414924185601,2022-10-11T00:34:12.000Z,qht,2,0,0,0,"[{'type': 'retweeted', 'id': '1579631059976990720'}]",RT @DeepInTropics: #ClimateScam
1579631197369819137,2189742660,1579631197369819137,2022-10-11T00:33:20.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",And advocates placed in confinement? https://t.co/va9MD8DdYm
1579631059976990720,2475989550,1579631059976990720,2022-10-11T00:32:47.000Z,qht,2,0,3,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",#ClimateScam https://t.co/J3Ug43h6bU
1579630051494354945,15915450,1579630051494354945,2022-10-11T00:28:47.000Z,en,0,0,3,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",And I want $2500 for each instance. https://t.co/Z4BkWEukKV
1579629677303386113,1027014012712579072,1579629677303386113,2022-10-11T00:27:17.000Z,qht,1,0,2,0,"[{'type': 'quoted', 'id': '1579619618368671745'}]",#ClimateScam https://t.co/A1qzmbd5fq
1579737202900467714,895550997363404801,1579737202900467714,2022-10-11T07:34:33.000Z,art,0,0,1,0,"[{'type': 'quoted', 'id': '1579619396871688193'}]",👏👏👏👏👏 https://t.co/8BvZilvStS
1579736844954406912,895550997363404801,1579736844954406912,2022-10-11T07:33:08.000Z,en,0,0,1,0,"[{'type': 'quoted', 'id': '1579619396871688193'}]",In our submissions to the @ZimTreasury this year with regards the #NationalBudget2023 we requested that at least 0.5% of the national budget should focus on Climate Change. #InclusiveBudgetNowZW@sam_signsofhope @thelegend_tsepy @ParliamentZim @OpenBudgets @lizgulaz @cogwigla2 https://t.co/8BvZilvStS
1579621670104756226,770491837144559620,1579621670104756226,2022-10-10T23:55:28.000Z,qam,0,0,0,0,"[{'type': 'quoted', 'id': '1579619152436002816'}]",@juneslater17 @DaPearl1978 @kimmieM1973 @EpochTimes https://t.co/NwJwUhXkVP
1579620814378319872,770491837144559620,1579620814378319872,2022-10-10T23:52:04.000Z,qam,0,0,0,0,"[{'type': 'quoted', 'id': '1579619152436002816'}]",@AllBiteNoBark88 @backtolife_2023 https://t.co/NwJwUienXP
1579620573390737408,770491837144559620,1579620573390737408,2022-10-10T23:51:07.000Z,qam,0,0,0,0,"[{'type': 'quoted', 'id': '1579619152436002816'}]",@KSCUBKEE https://t.co/NwJwUhXkVP
