id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,text,hashtags,hashtag_count,uppercase_count,uppercase_pct,exclamation_mark_count,question_mark_count,url_count,mention_count,emojie_count,followers_count,engagement_score,sentiment_score,sentiment_category,avg_replies_sentiment,avg_quotes_sentiment,avg_conversation_sentiment,var_replies_sentiment,var_quotes_sentiment,var_conversation_sentiment,pct_similar_sentiment_replies,pct_similar_sentiment_quotes,clean_text,var_replies_semantic,var_quotes_semantic,var_conversation_semantic,GS_controversiality_score
1553749453990817792,1421531202037686272,1553749453990817792,2022-07-31T14:28:31.000Z,en,1,0,0,0,everyone,This is biblical scale disinformation and mind games to create panic to destroy your civilization. #ZaidHamid #GlobalReset #WEF #NWO #FoodSecurity   #EnergyCrisis #BuildBackBetter #GlobalWarming  #HAARP  #WeatherUpdatehttps://t.co/UphrMfrLX6,"['ZaidHamid' 'GlobalReset' 'WEF' 'NWO' 'FoodSecurity' 'EnergyCrisis'
 'BuildBackBetter' 'GlobalWarming' 'HAARP' 'WeatherUpdatehttps']",10,3,15,0,0,1,0,0,191.0,0.005208333333333333,-0.6908,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,this biblical scale disinformation mind game create panic destroy civilization zaidhamid globalreset wef nwo foodsecurity energycrisis buildbackbetter globalwarming haarp weatherupdate,0.0,0.0,0.0,0
1553782705623547907,1512380832169746439,1553782705623547907,2022-07-31T16:40:39.000Z,en,0,0,0,0,everyone,"Abortion, the January 6th hearings, gun control legislation, gender and sex ideology, coronavirus, climate change, student loans... the flagship issues in the Democratic program are all loser issues - Red Wave: Trump Could Help DeSantis to Historic Win in 2024 https://tinyurl.",[],0,0,5,0,0,1,0,0,2.0,0.0,0.2732,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abortion january 6th hearing gun control legislation gender sex ideology coronavirus climate change student loan flagship issue democratic program loser issue red wave trump could help desantis historic win 2024,0.0,0.0,0.0,0
1553823822788313089,436791564,1553823822788313089,2022-07-31T19:24:02.000Z,en,2,0,3,0,everyone,"[Kano Nigeria] Many thanks to our devoted volunteers. In an effort to mitigate the consequences of climate change on our communities, the Panacea Foundation commenced the planting of 3000 seedlings in Minjibir. By the end of 2022, we hope to have planted 100,000 seedlings, https://t.co/huyOFhk8CY",[],0,0,5,0,0,1,0,0,1559.0,0.003205128205128205,0.8176,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kano nigeria many thanks devoted volunteer in effort mitigate consequence climate change community panacea foundation commenced planting 3000 seedling minjibir by end 2022 hope planted 100000 seedling,0.0,0.0,0.0,0
1553870393521438720,1297869819681931264,1553870393521438720,2022-07-31T22:29:05.000Z,en,0,0,1,0,everyone,climate change (taylor’s version),[],0,0,0,0,0,0,0,0,36.0,0.02702702702702703,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate change taylor version,0.0,0.0,0.0,0
1553810474654994433,258896387,1553810474654994433,2022-07-31T18:31:00.000Z,en,1,1,2,0,everyone,Matt's Weather Rapport: #Kentucky mega flash flood and climate change is weighing on me more than most recent disasters. Details: https://t.co/sNVaF4K2K5 #climatecrisis https://t.co/fub71TzTaF,['Kentucky' 'climatecrisis'],2,0,8,0,0,2,0,0,1541.0,0.0025940337224383916,-0.5965,Negative,-0.2263,0.0,-0.2263,0.0,0.0,0.0,100.0,0.0,matts weather rapport kentucky mega flash flood climate change weighing recent disaster details climatecrisis,0.0,0.0,0.0,0
1553584394702561280,1517925871524458501,1553584394702561280,2022-07-31T03:32:38.000Z,en,0,0,1,0,everyone,drove alone for the first time today. it is now time to contribute to global warming,[],0,0,0,0,0,0,0,0,564.0,0.0017699115044247787,-0.1027,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drove alone first time today time contribute global warming,0.0,0.0,0.0,0
1553750795648212993,14473569,1553750795648212993,2022-07-31T14:33:51.000Z,en,0,0,0,0,everyone,Another reason to do something about climate change. Your phone doesn't like when it's above 40 C ;) https://t.co/XV6rbIwZxw,[],0,1,7,0,0,1,0,0,14335.0,0.0,-0.0541,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,another reason something climate change your phone doesnt like 40 c,0.0,0.0,0.0,0
1553845958298836998,26855173,1553845958298836998,2022-07-31T20:52:00.000Z,en,0,0,0,0,everyone,"Climate change has no winners, except maybe rattlesnakes (and snakey paid politicians who cash in on it or do nothing about it?) https://t.co/wyWjbksIMY",[],0,0,4,0,1,1,0,0,3219.0,0.0,-0.3724,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate change winner except maybe rattlesnake snakey paid politician cash nothing,0.0,0.0,0.0,0
1553573584009838592,928053765625798657,1553573584009838592,2022-07-31T02:49:41.000Z,en,0,0,1,0,everyone,Purchased carbon offsets to address 2 flights that I needed to take for work travel. It’s not the perfect solution to address climate change but it’s something. Gold Standard Marketplace ⁦@goldstandard⁩  #ClimateCrisis  https://t.co/zGlQIi5Ke0,['ClimateCrisis'],1,1,6,0,0,1,1,0,564.0,0.0017699115044247787,-0.357,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,purchased carbon offset address 2 flight i needed take work travel its perfect solution address climate change something gold standard marketplace climatecrisis,0.0,0.0,0.0,0
1553623256179306496,1524219947261767680,1553623256179306496,2022-07-31T06:07:03.000Z,en,1,0,1,0,everyone,"Evrrything that happens o/s eventually happens here.The Netherlands.Canada. New Zealand.Now Ireland. UK are running a farm 'buy back' scheme.Farmers is under attack worldwide, ALL in the name of #ClimateCrisis #ClimateChange #NoFarmersNoFood #DutchFarmers #IrishFarmers https://t.co/nvj4kz3bGd","['ClimateCrisis' 'ClimateChange' 'NoFarmersNoFood' 'DutchFarmers'
 'IrishFarmers']",5,2,10,0,0,1,0,0,113.0,0.017543859649122806,-0.4767,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evrrything happens o eventually happens herethe netherlandscanada new zealandnow ireland uk running farm buy back schemefarmers attack worldwide all name climatecrisis climatechange nofarmersnofood dutchfarmers irishfarmers,0.0,0.0,0.0,0
1553770318384201728,713523037560111105,1553770318384201728,2022-07-31T15:51:26.000Z,en,0,0,0,0,everyone,Op-Ed: Climate Change Cultists And CEOs of Financial Institutions Intersect At The Great Reset Corner https://t.co/iYHlz8k5DU,[],0,0,19,0,0,1,0,0,434.0,0.0,0.6249,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oped climate change cultists and ceos financial institutions intersect at the great reset corner,0.0,0.0,0.0,0
